1; 6
2; 60
3; 66
4; 0
5; 59
6; 76
7; 78
8; 94
9; 99
10; 108
11; 109
12; 117
13; 118
14; 7
15; 119
16; 16
17; 18
18; 34
19; 39
20; 48
21; 49
22; 57
23; 58
24; 67
25; 29
26; 39
27; 44
28; 62
29; 64
30; 91
31; 100
32; 118
33; 0
34; 10
35; 10
36; 36
37; 39
38; 47
39; 21
40; 74
41; 76
42; 11
43; 11
44; 19
45; 21
46; 30
47; 51
48; 104
49; 106
50; 41
51; 41
52; 49
53; 51
54; 60
55; 81
56; 14
57; 16
58; 71
59; 71
60; 79
61; 81
62; 90
63; 111
64; 44
65; 46
66; 101
67; 101
68; 109
69; 111
70; 0
71; 46
72; 73
73; 75
74; 103
75; 106
76; 4
77; 6
78; 14
79; 16
80; 42
81; 44
82; 52
83; 42
84; 52
85; 57
86; 75
87; 78
88; 105
89; 109
90; 8
91; 9
92; 18
93; 19
94; 36
95; 38
96; 43
97; 102
98; 112
99; 117
100; 15
101; 18
102; 45
103; 49
104; 68
105; 69
106; 78
107; 79
108; 96
109; 98
110; 103
111; 38
112; 65
113; 67
114; 95
115; 97
116; 115
117; 117
118; 6
119; 7
120; 25
121; 26
122; 31
123; 0
124; 25
125; 27
126; 62
127; 64
128; 91
129; 93
130; 112
131; 112
132; 26
133; 28
134; 42
135; 26
136; 36
137; 37
138; 42
139; 43
140; 46
141; 47
142; 58
143; 59
144; 66
145; 68
146; 81
147; 82
148; 100
149; 86
150; 96
151; 97
152; 102
153; 103
154; 106
155; 107
156; 118
157; 119
158; 6
159; 8
160; 21
161; 22
162; 40
163; 66
164; 91
165; 96
166; 11
167; 14
168; 41
169; 43
170; 50
171; 51
172; 54
173; 55
174; 63
175; 68
176; 70
177; 71
178; 77
179; 78
180; 103
181; 104
182; 114
183; 115
184; 2
185; 2
186; 13
187; 14
188; 20
189; 23
190; 35
191; 39
192; 44
193; 45
194; 55
195; 55
196; 60
197; 62
198; 65
199; 66
200; 70
201; 70
202; 82
203; 46
204; 58
205; 59
206; 71
207; 72
208; 88
209; 90
210; 97
211; 102
212; 109
213; 114
214; 0
215; 1
216; 6
217; 8
218; 13
219; 14
220; 20
221; 106
222; 118
223; 119
224; 11
225; 12
226; 28
227; 30
228; 37
229; 42
230; 49
231; 54
232; 60
233; 61
234; 66
235; 68
236; 73
237; 74
238; 80
239; 41
240; 54
241; 59
242; 68
243; 73
244; 79
245; 84
246; 99
247; 104
248; 111
249; 112
250; 8
251; 101
252; 114
253; 119
254; 8
255; 13
256; 19
257; 24
258; 39
259; 44
260; 51
261; 52
262; 68
263; 48
264; 58
265; 59
266; 66
267; 66
268; 85
269; 89
270; 96
271; 101
272; 3
273; 108
274; 118
275; 119
276; 6
277; 6
278; 25
279; 29
280; 36
281; 41
282; 63
283; 9
284; 62
285; 39
286; 92
287; 69
288; 2
289; 99
290; 32
291; 17
292; 33
293; 35
294; 43
295; 47
296; 63
297; 65
298; 73
299; 77
300; 93
301; 95
302; 103
303; 107
304; 3
305; 5
306; 13
307; 33
308; 47
309; 48
310; 59
311; 60
312; 65
313; 70
314; 82
315; 84
316; 114
317; 118
318; 4
319; 10
320; 19
321; 19
322; 29
323; 30
324; 37
325; 42
326; 49
327; 54
328; 64
329; 69
330; 83
331; 88
332; 97
333; 102
334; 106
335; 111
336; 116
337; 1
338; 10
339; 93
340; 107
341; 108
342; 119
343; 0
344; 5
345; 10
346; 22
347; 24
348; 54
349; 58
350; 64
351; 70
352; 79
353; 79
354; 89
355; 90
356; 97
357; 102
358; 109
359; 114
360; 4
361; 9
362; 23
363; 28
364; 37
365; 42
366; 46
367; 51
368; 56
369; 61
370; 70
371; 51
372; 68
373; 69
374; 74
375; 75
376; 85
377; 87
378; 95
379; 97
380; 102
381; 103
382; 106
383; 107
384; 115
385; 111
386; 8
387; 9
388; 14
389; 15
390; 25
391; 27
392; 35
393; 37
394; 42
395; 43
396; 46
397; 47
398; 55
399; 56
400; 69
401; 74
402; 80
403; 85
404; 92
405; 97
406; 102
407; 107
408; 0
409; 116
410; 9
411; 14
412; 20
413; 25
414; 32
415; 37
416; 42
417; 47
418; 60
419; 32
420; 59
421; 64
422; 73
423; 75
424; 89
425; 93
426; 100
427; 105
428; 1
429; 92
430; 119
431; 4
432; 13
433; 15
434; 29
435; 33
436; 40
437; 45
438; 61
439; 50
440; 60
441; 61
442; 68
443; 69
444; 79
445; 81
446; 92
447; 93
448; 113
449; 110
450; 0
451; 1
452; 8
453; 9
454; 19
455; 21
456; 32
457; 33
458; 53
459; 13
460; 21
461; 22
462; 39
463; 43
464; 51
465; 52
466; 69
467; 73
468; 81
469; 82
470; 99
471; 103
472; 111
473; 112
474; 9
475; 51
476; 69
477; 70
478; 102
479; 104
480; 117
481; 119
482; 8
483; 5
484; 12
485; 14
486; 40
487; 40
488; 49
489; 49
490; 67
491; 69
492; 95
493; 97
494; 113
495; 114
496; 5
497; 51
498; 57
499; 59
500; 73
501; 74
502; 84
503; 86
504; 99
505; 104
506; 114
507; 119
508; 8
509; 13
510; 23
511; 28
512; 33
513; 35
514; 50
515; 52
516; 89
517; 91
518; 98
519; 111
520; 117
521; 119
522; 13
523; 14
524; 24
525; 26
526; 39
527; 44
528; 54
529; 59
530; 68
531; 73
532; 83
533; 88
534; 93
535; 95
536; 110
537; 112
538; 29
539; 31
540; 38
541; 15
542; 21
543; 23
544; 32
545; 33
546; 40
547; 41
548; 50
549; 55
550; 68
551; 73
552; 90
553; 91
554; 101
555; 102
556; 108
557; 109
558; 4
559; 6
560; 17
561; 17
562; 33
563; 36
564; 51
565; 56
566; 63
567; 75
568; 81
569; 83
570; 92
571; 93
572; 100
573; 101
574; 110
575; 115
576; 8
577; 13
578; 30
579; 31
580; 41
581; 42
582; 48
583; 49
584; 64
585; 66
586; 77
587; 77
588; 93
589; 96
590; 111
591; 116
592; 3
593; 54
594; 61
595; 63
596; 89
597; 89
598; 100
599; 105
600; 5
601; 13
602; 69
603; 75
604; 84
605; 88
606; 101
607; 106
608; 116
609; 0
610; 11
611; 13
612; 23
613; 24
614; 30
615; 114
616; 1
617; 3
618; 29
619; 29
620; 40
621; 45
622; 65
623; 73
624; 9
625; 15
626; 24
627; 28
628; 41
629; 46
630; 56
631; 60
632; 71
633; 73
634; 83
635; 84
636; 90
637; 28
638; 36
639; 38
640; 46
641; 47
642; 102
643; 110
644; 44
645; 58
646; 66
647; 68
648; 76
649; 77
650; 12
651; 20
652; 74
653; 88
654; 96
655; 98
656; 106
657; 107
658; 42
659; 50
660; 104
661; 118
662; 6
663; 8
664; 16
665; 17
666; 72
667; 80
668; 14
669; 25
670; 33
671; 34
672; 39
673; 44
674; 49
675; 51
676; 59
677; 60
678; 75
679; 80
680; 89
681; 90
682; 97
683; 99
684; 107
685; 109
686; 118
687; 119
688; 8
689; 13
690; 18
691; 19
692; 48
693; 50
694; 64
695; 68
696; 73
697; 74
698; 85
699; 86
700; 101
701; 85
702; 93
703; 94
704; 99
705; 104
706; 109
707; 111
708; 119
709; 0
710; 15
711; 20
712; 29
713; 30
714; 37
715; 39
716; 47
717; 49
718; 58
719; 59
720; 68
721; 73
722; 78
723; 79
724; 108
725; 110
726; 4
727; 8
728; 13
729; 14
730; 25
731; 26
732; 41
733; 49
734; 59
735; 59
736; 78
737; 80
738; 95
739; 97
740; 111
741; 115
742; 7
743; 12
744; 29
745; 34
746; 40
747; 45
748; 52
749; 57
750; 60
751; 61
752; 68
753; 109
754; 119
755; 119
756; 18
757; 20
758; 35
759; 37
760; 51
761; 55
